title,company,category,status,min_edu,min_exp,description,url
Operations Intern,TORAJAMELO CAREERS,Operations,Internship · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Operations Intern at TORAJAMELO CAREERSRole Description:- Collaborate with team members to analyze existing operational processes.- Identify opportunities for improvement and efficiency.- Assist in developing and implementing streamlined processes.- Provide general administrative support to the operations team.- Support in monitoring and managing inventory levels and Assist in conducting regular audits to ensure accuracy.- Contribute to the development of quality assurance procedures and participate in quality control checks and inspections.- Possibility of a cross-department work, where interns have the opportunity to have first hand experience in other TORAJAMELO business functions. Candidate Requirements:- Google suite proficiency- Analytical, data-driven and comfortable working with data- Innovative, creative, and has awareness of recent business developments and/or has the willingness to learn and stay informed on these matters- Comfortable & has familiarity in Social Media (Facebook/Instagram/Linkedin)- Passion for the environment, rural economies, and impact businesses- Entrepreneurial attitude- Agile and flexible
This is an office-based (WFO) internship lasting 5-6 months, with a monthly salary of IDR 500,000.Read Less",https://glints.com/id/en/opportunities/jobs/operations-intern/9cdde487-a817-4b2e-b36e-3b3aa68e8371?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Koordinator Operasional,PT. Kian Olympic Indonesia,Operations,Full-Time · On-site,Minimum Associate Degree,3 - 5 years of experience,"Job description for Koordinator Operasional at PT. Kian Olympic IndonesiaJob Description:1. Melakukan review terhadap PR dan PO semua pesanan perusahaan yang diproses oleh Purchasing.2. Memastikan progress produksi dan pengiriman product sesuai dengan jadwal yang ditetapkan dalam Project.3. Bertanggungjawab terhadap product yang akan di eksport - import4. Monitoring pengiriman product trucking logistik sesuai jadwalKualifikasi:1. Dapat mengoperasikan Microsoft Office2. Mampu melakukan analisa, problem solving, komunikasi3. Teliti dan dan detail oriented4. Lebih disukai punya pengalaman di industri Furniture Read Less",https://glints.com/id/en/opportunities/jobs/koordinator-operasional/670d64f8-93fe-4d51-877c-2ea5bc90444d?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Helper,Inspirasee,Operations,Full-Time · On-site,Minimum Secondary School,Less than a year of experience,"Job description for Helper at InspiraseeRequest Karyawan Full Service - OperasionalNama JabatanHelper Kebun SdaDeskripsi Pekerjaan1.  Siram tanaman 2. Bersih2 nursery / kebun tanaman hias 3. Kelola sampah daun jadi kompos (bakar atau timbun)4. Perawatan tanaman sesuai arahan5. Perawatan nursery / kebun6. Pelaporan pekerjaan setiap hari via whatsappLuas nursery : +- 2000 m2, Jam kerja 07.00 - 15.00, istirahat 1 jamSyarat/Kualifikasi Kandidat1. Pengalaman kerja merawat tanaman atau kebersihan taman atau cleaning service2. Bertanggungjawab, semangat kerja dan amanah karena minim pengawasan3. Lulusan minimal SD / SMP4. Kondisi sehat fisik & mentalRead Less",https://glints.com/id/en/opportunities/jobs/helper/9fcd61f3-8d42-45cc-8848-654c5e76ac60?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
E-Commerce Operation Supervisor,Lenne Lucrecia,Operations,Full-Time · On-site,Minimum Associate Degree,3 - 5 years of experience,"Job description for E-Commerce Operation Supervisor at Lenne LucreciaKami sedang mencari seorang Supervisor E-Commerce yang berdedikasi dan berpengalaman untuk bergabung dengan tim kami. Sebagai Supervisor E-Commerce, Anda akan memiliki tanggung jawab utama untuk mengelola dan meningkatkan kinerja penjualan produk dari semua Brand yang terkait. Berikut adalah deskripsi pekerjaan lengkap:

Tanggung Jawab Utama:Bertanggung jawab untuk mencapai target penjualan produk dari semua merek yang terkait.Bertanggung jawab dan memberikan laporan performa toko di MarketplaceMemantau aktivitas dan kinerja penjualan setiap hari pada E-commerce secara keseluruhanMemimpin dan mengawasi kinerja tim E-commerce dan tim marketingBerkoordinasi dengan baik dengan tim internal maupun eksternal terkait kelancaran operasional tokoBertanggung jawab atas pembuatan ide dan konsep konten merek untuk semua platform medsosMembuat daftar Key Opinion Leaders (KOL) dan bernegosiasi untuk menjalankan kampanye Membuat laporan penjualan mingguan dan bulanan serta perencanaan marketing.Membuat rencana promosi mingguan, bulanan, dan musiman untuk semua merek.Mengembangkan strategi penjualan, promosi, dan aktivitas untuk semua toko di berbagai marketplace.Mengorganisir dan mengoptimalkan iklan di semua platform marketplace Mengembangkan rencana promosi produk melalui e-commerce, media sosial, mesin pencari, dan aplikasi pesan.Menganalisis dan melaporkan tren minat pembelian dan kebutuhan pelanggan.Menjalin hubungan dan berkomunikasi dengan Relationship Managers di setiap platform e-commerce.Melakukan penilaian kinerja staf dan mempertimbangkan kebutuhan pelatihan. Termasuk dalam keputusan apakah kontrak kerja staf akan diteruskan atau tidak.Menganalisis tren live stream dan live shopping yang paling diminati oleh pengguna.

Kualifikasi:usia 25-35 tahun, min pendidikan D3Pengalaman sebelumnya dalam manajemen e-commerce dan pemasaran digital (minimal 3 tahun)Kemampuan komunikasi yang baik dan kemampuan analitis yang kuat.Keahlian dalam bernegosiasi dengan influencer dan KOL.Memahami tren pasar e-commerce.Keahlian dalam mengelola platform media sosial.Kemampuan mengelola tim dengan baik.Memiliki pemahaman yang kuat tentang periklanan online.Read Less",https://glints.com/id/en/opportunities/jobs/e-commerce-operation-supervisor/19476fd6-32f0-428a-83e0-e536fe353660?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operational Staff (Domisili Bali),SESEH MARKET,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Operational Staff (Domisili Bali) at SESEH MARKETResponsibilities:Help set up the store layout and organize products before openingAssist customers and process sales once the store is operrationalHandle cash and process transactions accurately.Restock shelves and ensure the shop area is well-maintained.Order and received products from suppliers.Daily cleaning of the shop.Share product knowledge and benefits with customers.Requirements:Good English speaking and writing.Friendly, with good communication and customer service abilities.Able to operate a computer for basic tasks (e.g., sales and inventory).Familiarity with the MOKA POS system and prior retail experience is a plusAvailable to work on shifts, including weekends.Read Less",https://glints.com/id/en/opportunities/jobs/operational-staff-domisili-bali/223fa46b-293c-4c47-a1f6-4af97ec8fe93?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Staff Cuci & Umum,King Corp,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Staff Cuci & Umum at King CorpJob DescriptionsTerbiasa Kerja TargetMengembangkan Prosedur Operasi Standar (SOP)Menangani masalah operasi dan menyelesaikannyaMembangun dan melacak metrik operasi harian dan dashboardMengawasi inventaris, fasilitas, serta distribusi dan layananMencari cara untuk meningkatkan efisiensi prosesMeneliti teknologi baru dan metode alternatif efisiensiMengembangkan solusi praktis untuk meningkatkan kepuasan klien dengan penyampaian layanan dan memastikan kelancaran operasi internalRead Less",https://glints.com/id/en/opportunities/jobs/staff-cuci-and-umum/3ffa7b4c-61d0-4e95-bcf1-8d072cbe9244?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Staff Setrika Uap,King Corp,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Staff Setrika Uap at King CorpJob DescriptionsMengembangkan Prosedur Operasi Standar (SOP)Menangani masalah operasi dan menyelesaikannyaMembangun dan melacak metrik operasi harian dan dashboardMengawasi inventaris, fasilitas, serta distribusi dan layananMencari cara untuk meningkatkan efisiensi prosesMeneliti teknologi baru dan metode alternatif efisiensiMengembangkan solusi praktis untuk meningkatkan kepuasan klien dengan penyampaian layanan dan memastikan kelancaran operasi internalMengelola anggaran dan biaya secara efektifJob RequirementsMampu bekerja secara targetMenyetrika baju konsumen dengan cepat dan rapihBisa bekerja sama dengan tim maupun individuMemiliki Hp AndroidRead Less",https://glints.com/id/en/opportunities/jobs/staff-setrika-uap/bbdbf7d9-2760-4b04-9e08-c2828b7294d6?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
supervisor,Klick Digital Printing,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,Job description for supervisor at Klick Digital Printing• Menetapkan jadwal produksi untuk setiap operator mesin.• Mengkoordinasikan kebutuhan bahan baku dan material pendukung dengan bagian gudang.• Memastikan ketersediaan mesin dan peralatan produksi dalam kondisi optimal.• Memimpin dan mengawasi tim operator mesin dalam menjalankan proses produksi.• Memantau progress produksi dan mengatasi kendala yang terjadi selama proses produksi.• Melakukan quality control pada setiap tahap proses produksi.• Mengkoordinasikan pelaksanaan perawatan dengan teknisi atau pihak terkait.• Memastikan mesin dan peralatan produksi selalu dalam kondisi siap pakai.Read Less,https://glints.com/id/en/opportunities/jobs/supervisor/39df7872-4a40-4c3f-ba66-4c1abf324ef9?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operator E-Commerce,PT INDILINX MITRA TECHNOLOGY,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Operator E-Commerce at PT INDILINX MITRA TECHNOLOGYDeskripsi Pekerjaan :1. Manajemen Produk dan Procurement (Pengadaan Barang)Mengunggah dan mengelola katalog produk di platform E-Commerce.Memastikan deskripsi, Harga dan Gambar Produk akurat dan menarik.Melakukan riset pasar untuk memperbarui dan mengembangkan produk yang di tawarkan.Mengatur kategori dan tagging produk untuk memudahkan pencarian pelanggan.2. Mengelola Pesanan.Memantau dan mengelola pesanan masuk dari pelanggan dari Tokopedia, Lazada, Shopee, Tiktok Shop, Bukalapak, dan Blibli.Memproses pembayaran dan membantu untuk orang gudang mengatur pengiriman.Menginformasikan kepada pelanggan tentang status pesanan dan menyediakan dukungan pelanggan yang di perlukan.3. Layanan Pelanggan (Customer Service).Menjawab pertanyaan dan permintaan pelanggan melalui Email, Whatsapp dan Chat di platform E-Commerce.Menyediakan bantuan yang Ramah, Tepat Waktu dan secara Profesional kepada pelanggan.Menangani keluhan pelanggan dengan kebijakan Retur, Pengembalian Dana atau Penukaran Produk yang serupa.Memberikan rekomendasi produk kepada pelanggan, menarik pelanggan baru dan mempertahankan reputasi pelanggan setia.4. Warehouse.Membantu pekerjaan di gudang dalam menyiapkan barang orderan atau returan.Melakukan pengecekan stock barang yang ada dengan data yang di miliki.Memastikan semua barang tersusun dan di letakan pada masing-masing rak yang telah disediakan.Kualifikasi dan Persyaratan :Gelas Sarjana di bidang terkait (Manajemen Bisnis dan Pemasaran) Terbuka untuk lulusan SMA yang memiliki pengalaman di bidang terkait.Pemahaman yang kuat tentang platform E-Commerce dan pengetahuan teknis terkait.Kemampuan komunikasi yang baik dan mudah di pahami.Kemampuan dalam mengelola wakut, mengatur prioritas dan dapat bekerja secara mandiri.Khusus bagi pelamar Wanita (Perempuan).Read Less",https://glints.com/id/en/opportunities/jobs/operator-e-commerce/b005e8de-4e7e-4506-8f6f-c2da845cbac3?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operator Produksi,CV. Cynthia Box,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,Job description for Operator Produksi at CV. Cynthia Boxmembuat karton box,https://glints.com/id/en/opportunities/jobs/operator-produksi/d04c79b5-b06d-4225-906e-add7890ceb3e?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
