title,company,category,status,min_edu,min_exp,description,url,imgUrl
SALES,GODEVI (Go Destination Village),Business Development & Sales,Internship · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for SALES at GODEVI (Go Destination Village)- DOMISILI BALI
- MAU BELAJAR ",https://glints.com/id/en/opportunities/jobs/sales/ab654094-f9f7-40e6-9ece-b2cdeb16fae4?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/01fb2e5a8d93f987d15ce082305c3e38.jpg
Sales Executive,Bluewater Express,Business Development & Sales,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Sales Executive at Bluewater Express- DOMISILI BALI
- FASIH BERBAHASA INGGRIS
- MINIMAL PENDIDIKAN D3 DAN MEMILIKI PENGALAMAN DIBIDANGNYA MINIMAL 2 TAHUN
- STRONG ANALYTICAL THINKING, DETAIL ORIENTATION, COMMUNICATION SKILLS, TEAM WORK, UNDERSTANDING MARKET AND NEGOTIATING TECHNIQUESRead Less",https://glints.com/id/en/opportunities/jobs/sales-executive/b99e137b-e833-4960-b6a9-c978fded3527?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3d7c99c033f3daf93edf45aadf3aa692.jpeg
Sales Manager,Bluewater Express,Business Development & Sales,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Sales Manager at Bluewater Express- DOMISILI BALI
- FASIH BERBAHASA INGGRIS
- MINIMAL PENDIDIKAN D3 DAN MEMILIKI PENGALAMAN DIBIDANGNYA MINIMAL 2 TAHUN
- STRONG ANALYTICAL THINKING, DETAIL ORIENTATION, COMMUNICATION SKILLS, TEAM WORK, UNDERSTANDING MARKET AND NEGOTIATING TECHNIQUESRead Less",https://glints.com/id/en/opportunities/jobs/sales-manager/6f4d4fc8-b721-4074-84b2-cd7fe994e52e?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3d7c99c033f3daf93edf45aadf3aa692.jpeg
Account Executive,JIA Communications,Business Development & Sales,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Account Executive at JIA CommunicationsDear Candidates,We are seeking a highly motivated and results-driven Account Executive to join our team. As an Account Executive, you will be responsible for developing and maintaining strong relationships with clients, identifying new business opportunities, and driving revenue growth.KEY OUTCOMESClient management involves overseeing the daily interactions with important contacts and cultivating a network of relationships to foster growth.As an account handler, you would be responsible for managing account administration and liaising with directors and relevant departments to ensure smooth service delivery.Part of your role would be identifying service development opportunities and bringing them to the client's attention, including potential new ways of working.Furthermore, you would need to demonstrate insightful analysis to clients, showcasing a deep understanding of their needs and providing valuable insights to enhance their experience.Responsibilities:Build and maintain strong relationships with clients, understanding their needs and ensuring their satisfactionDevelop new business opportunities by prospecting and engaging with potential clientsConduct research on industry trends and competitor activity to inform sales strategiesCreate and deliver compelling sales presentations to clients and prospectsNegotiate contracts and close deals with clientsWork collaboratively with internal teams, including marketing, product, and customer success, to ensure successful client onboarding and ongoing supportQualifications:Bachelor's degree in business, marketing, or related field3+ years of experience in sales, preferably in a B2B settingDemonstrated success in developing and maintaining client relationshipsStrong communication, negotiation, and presentation skillsProven ability to meet and exceed sales targetsExperience in the marketing communications PR/BTL/TTL/DIGITAL is a plusRead Less",https://glints.com/id/en/opportunities/jobs/account-executive/7bef277a-fba5-4f98-971d-15210c116973?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ab47495f6f12d30739dfec91cc1af402.png
Sales promotion girl,Ella Froze,Business Development & Sales,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Sales promotion girl at Ella FrozeDiperlukan SPG, 1.Diutamakan berpengalaman sales Frozen Food2. Bertanggung jawab 3. Bisa kerja team4. Bisa menjual produk sebagai SPG dan kreatif 5. Pribadi yang aktif dan ramah6. Tahu dengan pasti tugas sebagai SPG produk frozen food7. Punya kendaraan8. Untuk cover area Bekasi dan sekitarnyaRead Less",https://glints.com/id/en/opportunities/jobs/sales-promotion-girl/b22c984b-2c23-43d3-aa17-715f21041e6d?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1fc0ed2078d98f0fc195a7de98baae0a.jpg
Sales & Marketing Online Shop,Callanda Hijab,Business Development & Sales,Full-Time · On-site,Minimum Associate Degree,3 - 5 years of experience,"Job description for Sales & Marketing Online Shop at Callanda HijabKualifikas & Job Deskripsi:
- Pendidikan min D3/S1 dari Jurusan Komunikasi/Manajemen/ jurusan lain yang sesuai- Mengelola toko online di semua marketplace secara profesional- Bertanggung jawab terhadap pengelolaan display produk dan performa toko pada seluruh platform Marketplace.- Menangani dan menyelesaikan masalah toko di seluruh platform Marketplace- Posting dan Update harga Produk di Market Place (Shopee, Tokopedia, Lazada, Blibli dll)- Setting ads & Campaign- Memastikan pengiriman orderan dilakukan tepat waktu- Mampu membuat laporan penjualan dalam excel dan rekap data base customer online- Menjaga performa toko di Marketplace- Membuat konten, video simple di Media Sosial (Instagram, Facebook, TikTok)- Live streaming di Shopee, tokopedia, tiktok secara berkala- Membuat promo untuk penjualan online- Terbiasa dengan TargetRead Less",https://glints.com/id/en/opportunities/jobs/sales-and-marketing-online-shop/d2105296-fad6-46ee-ae8f-1effcca15481?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b51c52dfe5c85a88ac01ac1b13834f0e.jpeg
Sales Admin di Gading Serpong,Pro Consulting,Business Development & Sales,Contract · On-site,Minimum Associate Degree,1 - 3 years of experience,Job description for Sales Admin di Gading Serpong at Pro ConsultingTanggung Jawab:Memantau dan melaporkan metrik serta KPI penjualanMembantu dengan entri dan pemeliharaan data CRMMendukung tim penjualan dengan tugas-tugas administratifMembantu dalam koordinasi pelatihan penjualan dan orientasi untuk karyawan baruMembantu dalam persiapan materi dan presentasi penjualanBerpartisipasi dalam pengembangan dan penyempurnaan proses penjualanKualifikasi:Minimal D3 dari jurusan apa punPengalaman 1-2 tahun di industri SaaS akan menjadi prioritasPengalaman dan pengetahuan kerja tentang sistem CRMRekam jejak terbukti dalam mencapai kuota melebihi targetKeterampilan komunikasi tertulis dan lisan yang kuatRead Less,https://glints.com/id/en/opportunities/jobs/sales-admin-di-gading-serpong/d19c0f4b-ec67-405e-99a5-b41bb1482df0?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7013a7525f1f061b2a4d28ff1a23600a.png
Business Development Manager,Bizsquare Management Consultants Pte Ltd,Business Development & Sales,Full-Time · Remote/WFH,Minimum Bachelor’s Degree,5 - 10 years of experience,"Job description for Business Development Manager at Bizsquare Management Consultants Pte LtdJob Description Prospect for new SME customers in Singapore and proactively market our business solutions to meet their needs (eg. business financing, business matching in Indonesia, branding and marketing development, digital marketing etc.)Engage clients professionally, understanding their unique needs, and presenting suitable partnership opportunities persuasively and eloquentlyLeverage your extensive network and interpersonal skills to establish meaningful connections in diverse industries, fostering successful business relationshipsManage and service your portfolio of accountsGenerate and achieve revenue targets assignedBuilding a strong network of decision-makers in the business space and partnerships for new business opportunitiesConstantly bringing in new clients and ensuring that we're building long-term relationships across sectorsAssist the Lead Consultant in Indonesia in providing exceptional business matching services, ensuring successful partnerships between Singaporean SMEs and Indonesian businessesConduct detailed market research, particularly focusing on the Indonesian economy and various sectors, enabling strategic decision-making for our clientsRequirements At least 7 years of experience in the B2B market salesGood English language skills with good writing and speaking skills in English (all communication will be in English). Understanding Chinese is an advantage.A team player who delivers impactful outcomes  Willing to learn and work hard Able to adhere to milestones and deliverables, strong time management skills Self-motivated and independent Experience in working for the Singapore or International market is a strong advantageLooking for pleasant looking candidate with vibrant personality. Read Less",https://glints.com/id/en/opportunities/jobs/business-development-manager/d43e2151-9127-4361-ad4a-2d514a32741d?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0bea03a7e798ce29f1e654d90323f032.png
Senior Telemarketing Executive,Wilis House (PT Assalam Properti Bangun Nusantara),Business Development & Sales,Full-Time · On-site,Minimum Senior/Vocational High School,null,"Job description for Senior Telemarketing Executive at Wilis House (PT Assalam Properti Bangun Nusantara)Kualifikasi :1. Pria/ Wanita muslim, usia maks. 30 tahun2. Pendidikan minimal SMK/ sederajat dan D33. Pengalaman Marketing : Properti, Perbankan, Asuransi & Penjualan Mobil4. Pengalaman min. 1 tahun di bidang yang sama5. Memiliki sim C dan kendaraan sendiri.Read Less",https://glints.com/id/en/opportunities/jobs/senior-telemarketing-executive/9156d8b7-8a51-4b01-aa92-ea5e23004d20?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d464992026ddd8122bbb2b54b1337d29.jpeg
Telemarketing,Cv Tiga Pilar Digital Inc,Business Development & Sales,Full-Time · Remote/WFH,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Telemarketing at Cv Tiga Pilar Digital Inc1. Mencari Targer Konsumen di Social media / Dunia Digital2. Memprospek data yang diambil, dengan Penawaran Produk kami3. Mengarahkan Konsumen untuk Close Deal",https://glints.com/id/en/opportunities/jobs/telemarketing/cbe69614-aa25-48d8-bd50-a2f4e24631e6?utm_referrer=explore&traceInfo=1de62e8c-2816-420d-abd4-9d12a5b0ddb3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/622cb227d64570340171e5e58208a7f3.png
