title,company,category,status,min_edu,min_exp,description,url,imgUrl
Administrasi Gudang - Semarang,Cv Solusi Arya Prima,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Administrasi Gudang - Semarang at Cv Solusi Arya PrimaKualifikasi :1. Pria2. Usia Max. 30 thn3. Pendidikan min. D34. Menguasai software accurate dan excel5. Pengalaman minimal 1 tahun di bagian gudang atau accounting.5. Teliti dan memiliki kemampuan komunikasi yang baik6. Mampu bekerja dibawah tekanan.Jobdesk :1. Menerima dan memeriksa barang yang datang sesuai dengan dokumen pengiriman dan memastikan barang yang diterima dalam kondisi baik dan sesuai dengan pesanan.2. Menyusun dan mengatur barang di gudang sesuai dengan jenis dan kategori.3. Melakukan pencatatan dan input stok barang (Stock Opname) secara akurat dan berkala.4. Mengontrol persediaan barang agar tidak terjadi kekurangan atau kelebihan.5. Menginput jobcosting.6. Menyiapkan dan mengemas barang untuk pengiriman sesuai dengan pesanan.6. Membuat laporan penerimaan, penyimpanan dan pengiriman.Read Less",https://glints.com/id/en/opportunities/jobs/administrasi-gudang-semarang/4409e141-a5c6-4663-af23-3185b21fd58f?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/581af383e9a65d9516c1e75b7bbb0fc4.jpg
Warehouse Supervisor (Mandarin Speaker),PT. Wook Global Technology,Supply Chain & Logistics,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Warehouse Supervisor (Mandarin Speaker) at PT. Wook Global TechnologyDeskripsi Pekerjaan:Bertanggung jawab atas pengelolaan warehouse dan pengelolaan SDM warehouse;menetapkan SOP/standar kerja warehouse; menetapkan program kerja di warehouse;menetapkan arah pelatihan keterampilan untuk karyawan.Bertanggung jawab dalam menyusun dan menyempurnakan lay out tempat kerja yang ada di warehouse; memastikan semua tempat yang ada di dalam warehouse dapat dimanfaatkan dengan tepat guna; memastikan inventory management di dalam warehouse sesuai dengan standar dan kebutuhan operasional.Bertanggung jawab dalam memastikan karyawan menjalani setiap segmen kerja yang ada di warehouse seperti receive, check, put away, pick, dan lain-lain dengan baik; memastikan efektifitas dan efisiensi kerja karyawan di gudang selalu dalam kondisi baik.Bertanggung jawab atas pembuatan dan pemeliharaan sistem inventory management warehouse (stok opname rutin, penyesuaian stok, dan lain-lain).Bertanggung jawab dalam menyusun perencanaan penggunaan biaya operasional yang ada di warehouse dan memastikan biaya operasional selalu dalam batas wajar.Bekerja sama dengan departemen lain dalam menyelesaikan semua permintaan atau pekerjaan yang berhubungan dengan warehouse; menjaga komunikasi dan koordinasi yang baik dengan departemen lain guna memastikan operasional warehouse berjalan sesuai dengan program dan strategi kerja perusahaan.Bertanggung jawab atas keamanan dan kebersihan warehouse secara keseluruhan, memastikan kebersihan dan keamanan warehouse dalam kondisi baik sehingga operasional warehouse berjalan dengan normal.Bertanggung jawab menjalankan tugas lain yang nanti diserahkan oleh warehouse manager.Support keperluan safety (kemanan kerja) / K3 karyawan Warehouse. Kualifikasi:Usia maksimal 37 tahun.Pendidikan minimal lulusan D3/S1 sederajat (segala jurusan).Memiliki pengalaman sebagai Warehouse Supervisor / Logistic Supervisor minimal 2 tahun dan mampu berkomunikasi dengan lancar (lisan dan tertulis) menggunakan bahasa Mandarin.Diutamakan memiliki pengalaman kerja di bidang pengelolaan e-commerce.Memahami business process / flow process dan daily activities di Gudang (Warehouse).Memahami tentang WMS (Warehouse Management System).Memiliki kendaraan pribadi dengan SIM A atau SIM C (aktif).Bersedia bekerja mobile untuk mengurus perizinan tenaga kerja asing, izin usaha/ izin operasional di lapangan.Penempatan lokasi kerja di Cikarang Pusat , Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/warehouse-supervisor-mandarin-speaker/7ae950ca-e6b4-44e5-9053-6ce1fa104973?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/62c368c52b97568dba9fa921c9667b78.png
Staf Gudang,PT. Wynettes Walden International,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Staf Gudang at PT. Wynettes Walden International1. Mencatat barang yang masuk dan keluar dari gudang, termasuk jumlah stok barang, keluar masuknya distribusi barang, pemesanan barang, hingga klaim pembayaran atas pembelian. 2. Mengklasifikasikan barang yang masuk dengan sesuai.3. Memeriksa dan melaporkan stok barang di gudang, termasuk mengecek stok barang yang masuk.4. Memperbarui barang yang memasuki expired period atau masa kedaluwarsa. Admin harus mampu mengatur barang yang didistribusikan terlebih dahulu, yakni barang yang memiliki masa kedaluwarsa lebih cepat. 5. Melakukan koordinasi dengan pihak terkait, seperti supervisor gudang, tim logistik, tim produksi, tim penjualan, atau pemasok. Admin harus mampu berkomunikasi dengan baik dan menjaga hubungan kerjasama yang harmonis.6. Menyusun laporan berkala tentang kegiatan pergudangan, seperti laporan stok barang, laporan distribusi barang, laporan pemesanan barang, atau laporan kerusakan barang. Laporan ini berguna untuk evaluasi dan perbaikan kinerja.7. diutamakan bisa mengendarai mobilRead Less",https://glints.com/id/en/opportunities/jobs/staf-gudang/506d9ac6-0d51-425a-a6a3-3b55eff523ee?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0214cbe26e9c8aa103f007a7bbb1d344.png
Staf Gudang (Temporary 3 Bulan),PT Chika Mulya Multimedia,Supply Chain & Logistics,Contract · On-site,Minimum Senior/Vocational High School,Less than a year of experience,Job description for Staf Gudang (Temporary 3 Bulan) at PT Chika Mulya MultimediaKualifikasi :1. Wanita2. Usia maksimal 23 tahun3. Pendidikan minimal SMA/SMK atau sederajat4. Memiliki pengalaman di bagian gudang (terbuka untuk Fresh Graduate)5. Cekatan dan mampu mengoperasikan komputer (basic)6. Jujur dan mau kerja keras7. Bersedia bekerja secara temporerRead Less,https://glints.com/id/en/opportunities/jobs/staf-gudang-temporary-3-bulan/8a8d3bbf-b433-4225-b7ae-95298c6985e9?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/92397a6f200ee13d8d2b902a969b198d.png
Staff Gudang,Store Maju Hardware Kediri,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Staff Gudang at Store Maju Hardware KediriKUALIFIKASI :Pria / WanitaMax. usia 27 ThnBerpenampilan MenarikPendidikan Min. SMA / SMKKomunikatif, Good AttitudeMemiliki pengalaman di Retail-Smartphone (lebih diutamakan)Fresh Graduate Are Welcome*Gaji akan diinfo pada saat sesi interviewRead Less",https://glints.com/id/en/opportunities/jobs/staff-gudang/3dc95e11-757f-4fcd-b280-11f9a7749c54?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8378a107621899049924c1ad8a7602c4.jpeg
supir,Pt Anugerah Graha Plasindo,Supply Chain & Logistics,Daily · On-site,Minimum Secondary School,1 - 3 years of experience,Job description for supir at Pt Anugerah Graha PlasindoJob DescriptionsMengemudikan kendaraan dengan aman dan bertanggung jawab.Mengantarkan karyawan ke tujuan sesuai dengan rute yang ditentukan.Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin.Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.Job RequirementsMemiliki SIM APengalaman sebagai driver atau posisi serupa diutamakan.Pengetahuan tentang peraturan lalu lintas dan keselamatan berkendara.Memiliki sikap bertanggung jawab dan disiplin dalam menjaga jadwal.Kemampuan komunikasi yang baik dan mampu berinteraksi dengan baik dengan orang lain.Read Less,https://glints.com/id/en/opportunities/jobs/supir/520cf7a8-dd3c-4874-b420-a8eb52b59b79?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ccb3551da94da60be0aea20ff2cdf17b.png
helper,Toko Plastik 40,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for helper at Toko Plastik 40membuka pagar,sapu dan siram halamanmengumpulkan dan merapikan kardus bekas untuk di jualpacking botol,sreng,dll sesuai perintah atasanmembantu sales menyiapakan barang pesanan customermembantu mengirim barang dengan motorRead Less",https://glints.com/id/en/opportunities/jobs/helper/089403e8-f623-4a95-8c35-48f73258d83e?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/00d2ed43e20637d9159b2a47856c7668.jpg
KOORDINATOR DEPO YOGYAKARTA,CV Bintang Mitra Mulia,Supply Chain & Logistics,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for KOORDINATOR DEPO YOGYAKARTA at CV Bintang Mitra Muliaa. Memastikan permintaan barang ( PO ) untuk stock Depo sudah dikirim setelah menerima Barang Datang dari HO.b. Memastikan PO dari outlet yang di cover Depo, bisa diterima Depo tidak mepet, sebagai dasar pengajuan permintaan barang ( PO ) outlet dari Depo ke HOc. Memastikan Barang terkirim ke Outlet sesuai PO Outlet dan  schedule pengirimand. Menyusun dan melaporkan budget biaya operasional Depoe. Melakukan stok opname, sampling dan opname Piutangf. Melakukan closing ceremony dan closing piutangg. Melakukan perawatan kendaraan operasionalRead Less",https://glints.com/id/en/opportunities/jobs/koordinator-depo-yogyakarta/53eda3ce-dc79-46c0-9194-fb2fe5a8e5cf?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/43ce0480dde4987bda20adca3cf4e7c7.jpeg
Driver Kiriman Bekasi,PT. YAFINDO MEGA PERMATA,Supply Chain & Logistics,Full-Time · Hybrid,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Driver Kiriman Bekasi at PT. YAFINDO MEGA PERMATALaki-laki.Memiliki SIM B1.Mampu mengkoordinasi prosedur operasional untuk penerimaan, penanganan, penyimpanan dan pengiriman barang.Pengalaman 1-2 tahun sebagai Driver di industri FMCG lebih disukai.Memahami area Bandung dan sekitarnya.Penempatan Bandung Timur - Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/driver-kiriman-bekasi/ec4abccd-77d1-44b4-b4c2-c982e17852ef?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a72226c2a2ed1b38daed2708e78ae981.png
Driver Kiriman Bandung Timur,PT. YAFINDO MEGA PERMATA,Supply Chain & Logistics,Full-Time · Hybrid,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Driver Kiriman Bandung Timur at PT. YAFINDO MEGA PERMATALaki-laki.Memiliki SIM B1.Mampu mengkoordinasi prosedur operasional untuk penerimaan, penanganan, penyimpanan dan pengiriman barang.Pengalaman 1-2 tahun sebagai Driver di industri FMCG lebih disukai.Memahami area Bandung dan sekitarnya.Penempatan Bandung Timur - Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/driver-kiriman-bandung-timur/0da55cea-657f-483d-aa49-619195b2ee34?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a72226c2a2ed1b38daed2708e78ae981.png
