title,company,category,status,min_edu,min_exp,description,urlJob,urlImg
Host Livestreamer Tiktok & Talent,PT. Aarti Jaya,Marketing,Kontrak · Kerja di kantor,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Host Livestreamer Tiktok & Talent PT. Aarti JayaJob DescriptionsMenghadirkan siaran langsung yang menarik dan menghibur kepada audiens.Berinteraksi secara aktif dengan audiens melalui chat dan komentar.Menyampaikan konten dengan jelas dan memikat menggunakan kemampuan berbicara yang baik.Memahami tren dan topik yang sedang populer untuk menarik minat audiens.Memastikan kelancaran teknis selama siaran langsung.Mempromosikan dan memperkenalkan produk atau layanan perusahaan kepada audiens.Job RequirementsPendidikan minimal SMA atau setara.Pengalaman sebagai host live streaming, pembawa acara, atau posisi serupa diutamakan.Kemampuan berbicara yang baik dan memiliki daya tarik di depan kamera.Kreatif dan mampu menghasilkan konten yang menarik dan menghibur.Keterampilan dalam membangun interaksi dengan audiens.Keterampilan teknis dasar dalam mengoperasikan peralatan streamingLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-livestreamer-tiktok-and-talent/05f2c96a-dcb2-4fb7-917b-217f863597ae?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/741481fb9ecf6f1811030808e9da7200.jpg
Social Media Specialist,PT Ayu Agung,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Social Media Specialist PT Ayu AgungSocial Media Specialist Moko Moko

Requirement:- Female, min. D3- Min. 2-3 years experience in social media/digital marketing (preferably with the experience of handle rebranding)- Social media savvy, aware of social media tools & features- Understand the optimization of ads plan is a plus point- Beauty / lifestyle enthusiast- Acknowledge of premium / high-end beauty- Camera-ready- Able to work in team- Able to work from office (Cideng, Tanah Abang)Job description:- Creating content plan for all Moko Moko's social media- Manage Moko Moko's digital social media assets - Maintain good relationship with KOL and other brands for online/offline collaboration- Execute content creating for social media inventory - Create monthly reportLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/social-media-specialist/983f3292-9ec0-4db6-afe1-a7065044f54c?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5c52255ea79e93961a6d534e35a97eb9.jfif
Digital Advertiser (Meta Ads & Google Ads),PT. Aarti Jaya,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Digital Advertiser (Meta Ads & Google Ads) PT. Aarti JayaJob DescriptionsMeraih angka Leads dan Metrics yang ditetapkanMenganalisa pasar, kompetitor,, dan menjalankan Campaign Ads yang efektifBerkolaborasi dengan tim kreatif untuk membuat strategi digital marketingMenjalankan iklan Tiktok ads/Meta Ads, memonitor jalannya iklan Tiktok ads/Meta AdsMengevaluasi hasil iklan Tiktok ads/Meta Ads demi meningkatkan Potensi Konversi PenjualanMengerti tentang pembuatan konsep konten dan Teknik FunnelingMengikuti Perkembangan terbaru dari segi algoritma Iklan, Tren Media Sosial, sesuatu yang Viral

Job Requirements|Pria, Max 35 tahunPendidikan min. D4/S1 Marketing atau Training Skill Digital (diutamakan)Pengalaman minimal 2 tahun di Digital AdvertiserKemampuan menulis, Analisa Data, dan berkomunikasi yang baikMahir dalam penggunaan Meta Ads, Google Analytics, Tiktok Ads, Aplikasi WA BlastKemampuan dalam pembuatan konten dan pengelolaan platform media sosialSelalu up-to-date soal Tren Digital, Tren Media Sosial, sesuatu yang ViralPenempatan di Head Office BandungLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/digital-advertiser-meta-ads-and-google-ads/368a808a-2869-41a5-a2b7-f0ddb9bc4bcb?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/741481fb9ecf6f1811030808e9da7200.jpg
Content Strategist,Rippple,Marketing,Penuh Waktu · Remote/Dari rumah,Minimal Sarjana (S1),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Content Strategist RipppleHIRINGCONTENT STRATEGIST Full-timeJob DescriptionCollaborate closely with clients to create content that uniquely captures their story and objectivesDevelop scripts, captions, and copy for each contentsManage content uploads and provide monthly performance reportsQualificationsBachelor’s Degree (S1), preferable in Marketing, Communication or BusinessMin. of 2 years experience in content creatingPassionate, proactive, highly creativeA storyteller, great communication skillsHow to ApplyClick the link on our Instagram bio and fill out the 'Applying for Content Strategist Job Quiz'. Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/content-strategist/771f72c7-98e3-45c1-9d4c-0ceb93badaca?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/13c6041d2368cf3ede30434fb198c16a.jpeg
MARKETING ENGINEER,PT Azbil Berca Indonesia,Marketing,Kontrak · Kerja di kantor,Minimal Sarjana (S1),5 - 10 tahun pengalaman,Deskripsi pekerjaan MARKETING ENGINEER PT Azbil Berca IndonesiaQualification :Min. Bachelor degree of Engineering.Experienced 5 years in Automation and Building markets.Have a good presentation and communication skills.Have a good knowledge in HVAC systemHave a good communication in English.Have a Driving License (A)Responsibility : Present product and services to customer.Build good relationships with customers.Promote the company's products or services to target consumers.Conduct direct sales to consumers.Lihat Lebih Sedikit,https://glints.com/id/opportunities/jobs/marketing-engineer/ee479781-3925-41e2-afd9-78f2dd2643e5?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/465dd1e133ad6426559e9f0fe1d6a080.jpg
Host Live - Medan,Secretlux Official,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Host Live - Medan Secretlux Official. WANITA 18-24 THN. GOOD PUBLIC SPEAKING. MEMILIKI KARAKTER INISIATIF, PROBLEM SOLVING SKILL. CERIA, AKTIF, ENERGIC. BERPENGALAMAN HOST LIVE STREAMING. PERCAYA DIRI, LANCAR BERBICARA DAN RAMAH DI DEPAN KAMERA· MEMILIKI IDEA CREATIVE DAN INOVASI. KEMAMPUAN UNUTK BERINTERAKSI DENGAN PENONTON SECARA LANGSUNG DA MENARIK PERHATIAN MEREKA. JUJUR, TELITI DAN BERSIKAP RAMAH· MEMILIKI KEMAMPUA UNTUK BERBICARA TENTANG PRODUK DENGAN JELAS· MEMILIKI KETERAMPILAN SOSIAL DAN RESPONSIFLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-live-medan/f1d32f72-0410-4eba-a9d7-a6fa9fc2feaf?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4e08d5694407950318323590edc4f185.png
Host Live,Secretlux Official,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Host Live Secretlux Official. WANITA 18-24 THN. GOOD PUBLIC SPEAKING. MEMILIKI KARAKTER INISIATIF, PROBLEM SOLVING SKILL. CERIA, AKTIF, ENERGIC. BERPENGALAMAN HOST LIVE STREAMING. PERCAYA DIRI, LANCAR BERBICARA DAN RAMAH DI DEPAN KAMERA· MEMILIKI IDEA CREATIVE DAN INOVASI. KEMAMPUAN UNUTK BERINTERAKSI DENGAN PENONTON SECARA LANGSUNG DA MENARIK PERHATIAN MEREKA. JUJUR, TELITI DAN BERSIKAP RAMAH· MEMILIKI KEMAMPUA UNTUK BERBICARA TENTANG PRODUK DENGAN JELAS· MEMILIKI KETERAMPILAN SOSIAL DAN RESPONSIFLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-live/cf61b800-be26-4e90-97c8-825c6b98288a?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4e08d5694407950318323590edc4f185.png
Public Relations Specialist,PT. GEMILANG CAHYA CENTRAL,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Public Relations Specialist PT. GEMILANG CAHYA CENTRALJob DescriptionsMengembangkan tujuan strategis PR jangka pendek, menengah, dan panjangMembangun hubungan dengan media cetak, penyiaran, dan online untuk meningkatkan eksposur perusahaan Mengajukan berita perusahaan, pengumuman produk, profil, fitur, dan artikel pemimpin pemikiran kepada media utamaMengidentifikasi dan mengejar peluang penempatan media di outlet pers yang ditargetkanMelacak, memantau, dan mengevaluasi tanggapan terhadap siaran persMembuat komunikasi lengkap melalui media cetak dan online, termasuk media sosialJob RequirementsPendidikan minimal SMA/SMK sederajatPengalaman minimal 1 tahun di bidang yang samaKemampuan menceritakan dengan baikKemampuan  pemasaran yang lebih luas, PR, dan taktik digital lainnKemampuan dalam publikasi konten onlinePengetahuan ahli tentang platform media sosialLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/public-relations-specialist/04f9bbce-5b28-4e45-b6b1-02f82e210be8?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/25c02833b9c496ec75656ce1e84cee48.png
Marketing & Branding Intern,BOKOR MAS,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Marketing & Branding Intern BOKOR MASInternship Descriptions:Brainstorm and provide ideas for digital initiatives (organic, influencer, ads, community, etc.)Providing administrative assistance to the Marketing & Branding Manager, including organizing meetings, handling correspondence, and maintaining documentation.Willing to be a representative of the company.Assisting the Marketing & Branding Manager in daily activities, which may include conducting market research, analyzing marketing data, and coordinating promotional events.Requirements:Fresh Graduates or students with a minimum 5th semester in Communications or any related fieldUnderstand the digital channels and update trends.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing-and-branding-intern/af6fd481-9703-46c5-a6ff-13f354f6a8ca?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a8bfa7b20fbe664cbb3b10b941d30fd1.png
Digital Marketing Staff,PT. Media Biomedik Indonesia,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Digital Marketing Staff PT. Media Biomedik IndonesiaDeskripsi Pekerjaan :Membuat konten dalam format gambar dan video secara berkala.Membuat Dsign Company Profile, Brosur, Flyer dll.Membantu kinerja Manager Marketing & Sales Marketing dalam promosi media online dan offlineMeliput kegiatan operasional perusahaan untuk dipulikasikan.Bertugas menjangkau target pasar melalui platform sosial media. Seperti Facebook, Instagram, Linkedin, Twitter, Youtube, Tiktok, dll.Bertugas melakukan pemasaran melalui mesin pencari (seperti google, yahoo, safari, dll) untuk pemasarkan produk/jasa menggunakan situs web bisnis.Menyusun perencanaan untuk promosi sebuah produk melalui channel digital.Membuat konsep campaign marketing di channel-channel digital secara keseluruhan.Mengoptimasi dan meningkatkan peringkat laman perusahaan dan produk-produk yang dihasilkan dalam search engine.Mempersiapkan peralatan untuk event / acara-acara perusahaan (seperti seminar ataupun MCU masal).Mempersiapkan produk sebelum dikirim ke klien.Persyaratan :Lulusan D3 atau S1.Pengalaman 2 tahun diposisi yang sama.Menguasai aplikasi editing video dan foto seperti Adobe Photoshop, Adobe Ilustrator, Adobe Premier, adobe after effect dan Software sejenis lainnya.Mengerti Google Ads, Facebook Ads dan Instagram Ads.Pernah mencoba platform digital advertising lainnya lebih baikMengerti strategi memasarkan website, untuk meningkatkan trafficnya.Mampu mengolah sosial media marketing, content strategy, SEO, email blast, managing influencer, dllDiutamakan memiliki skill copy writing untuk promosi.Terbisa dengan deadline.Penempatan di Cengkareng Timur – Jakarta Barat.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/digital-marketing-staff/e97489a6-f93e-4910-a404-314e0c72d96d?utm_referrer=explore&traceInfo=b9e7e8ad-549f-42d5-8a80-882f7f98310e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/fd5be0a7754785a49db1a453ad6515ef.jpeg
